0,Greenwich Mean Time
60,European Central Time
120,Eastern Euope Time
120,(Arabic)Egypt Standard Time
180,East African Time
210,Middle East Time
240,Near East Time
300,Pakistan Lahore Time
330,India Standard Time
360,Bangladesh Standard Time
420,Vietnam Standard Time
480,China Standard Time
540,Japan Standard Time
570,Australia Central Time
600,Australia Eastern Time
660,Solomon Standard Time
720,New Zealand Standard Time
-660,Midway Islands Time
-600,Hawaii Standard Time
-540,Alaska Standard Time
-480,Pacific Standard Time
-420,Phoenix Standard Time
-420,Mountain Standard Time
-360,Central Standard Time
-300,Eastern Standard Time
-300,Indiana Eastern Standard Time
-210,Canada Newfounland Time
-180,Argentina Standard Time
-180,Brazil Eastern Time
-60,Central African Time
